language,split,rendering,family,task,verb,neg,label,sentence_a,sentence_b
ko,train,primary,assertion,quantity,1,False,1,작은 초록색 사자 다섯 마리와 늙은 파란색 소 여섯 마리가 있다.,늙은 파란색 소 여섯 마리와 작은 초록색 사자 다섯 마리가 있다.
en,train,primary,assertion,quantity,2,False,0,There are three small white dogs and four old blue chickens.,There are three old blue chickens and four small white dogs.
de,train,primary,assertion,quantity,2,False,0,Es gibt drei kleine weiße Hunde und vier alte blaue Hühner.,Es gibt drei alte blaue Hühner und vier kleine weiße Hunde.
ko,train,primary,assertion,quantity,2,False,0,작은 하얀색 개 세 마리와 늙은 파란색 닭 네 마리가 있다.,늙은 파란색 닭 세 마리와 작은 하얀색 개 네 마리가 있다.
en,train,primary,assertion,quantity,2,False,1,There are three small white dogs and four old blue chickens.,There are four old blue chickens and three small white dogs.
de,train,primary,assertion,quantity,2,False,1,Es gibt drei kleine weiße Hunde und vier alte blaue Hühner.,Es gibt vier alte blaue Hühner und drei kleine weiße Hunde.
ko,train,primary,assertion,quantity,2,False,1,작은 하얀색 개 세 마리와 늙은 파란색 닭 네 마리가 있다.,늙은 파란색 닭 네 마리와 작은 하얀색 개 세 마리가 있다.
en,train,primary,assertion,quantity,0,False,0,There are two old red mice and four large green ducks.,There are two large green ducks and four old red mice.
de,train,primary,assertion,quantity,0,False,0,Es gibt zwei alte rote Mäuse und vier große grüne Enten.,Es gibt zwei große grüne Enten und vier alte rote Mäuse.
ko,train,primary,assertion,quantity,0,False,0,늙은 빨간색 쥐 두 마리와 큰 초록색 오리 네 마리가 있다.,큰 초록색 오리 두 마리와 늙은 빨간색 쥐 네 마리가 있다.
en,train,primary,assertion,quantity,0,False,1,There are two old red mice and four large green ducks.,There are four large green ducks and two old red mice.
de,train,primary,assertion,quantity,0,False,1,Es gibt zwei alte rote Mäuse und vier große grüne Enten.,Es gibt vier große grüne Enten und zwei alte rote Mäuse.
ko,train,primary,assertion,quantity,0,False,1,늙은 빨간색 쥐 두 마리와 큰 초록색 오리 네 마리가 있다.,큰 초록색 오리 네 마리와 늙은 빨간색 쥐 두 마리가 있다.
en,train,primary,assertion,quantity,2,True,0,There are eight young white ducks and two small yellow rabbits.,There are eight small yellow rabbits and two young white ducks.
de,train,primary,assertion,quantity,2,True,0,Es gibt acht junge weiße Enten und zwei kleine gelbe Kaninchen.,Es gibt acht kleine gelbe Kaninchen und zwei junge weiße Enten.
