language,split,task,verb,neg,label,sentence_a,sentence_b
de,train,roles,2,False,1,Das junge rote Pferd verfolgt den jungen roten Bären und der junge rote Bär sieht das junge rote Pferd.,Der junge rote Bär wird von dem jungen roten Pferd verfolgt und das junge rote Pferd wird von dem jungen roten Bären gesehen.
ko,train,roles,2,False,1,어린 빨간 말이 어린 빨간 곰을 뒤따른다는 것과 어린 빨간 곰이 어린 빨간 말을 본다는 것이 모두 사실이다.,어린 빨간 곰을 어린 빨간 말이 뒤따른다는 것과 어린 빨간 말을 어린 빨간 곰이 본다는 것이 모두 사실이다.
en,train,negation,0,True,0,The large yellow fox does not see the large white lion and the large white lion sees the large yellow fox.,The large white lion is seen by the large yellow fox and the large yellow fox is not seen by the large white lion.
de,train,negation,0,True,0,Der große gelbe Fuchs sieht den großen weißen Löwen nicht und der große weiße Löwe sieht den großen gelben Fuchs.,Der große weiße Löwe wird von dem großen gelben Fuchs gesehen und der große gelbe Fuchs wird nicht von dem großen weißen Löwen gesehen.
ko,train,negation,0,True,0,큰 노란 여우가 큰 하얀 사자를 보지 않는다는 것과 큰 하얀 사자가 큰 노란 여우를 본다는 것이 모두 사실이다.,큰 하얀 사자를 큰 노란 여우가 본다는 것과 큰 노란 여우를 큰 하얀 사자가 보지 않는다는 것이 모두 사실이다.
en,train,negation,0,True,1,The large yellow fox does not see the large white lion and the large white lion sees the large yellow fox.,The large white lion is not seen by the large yellow fox and the large yellow fox is seen by the large white lion.
de,train,negation,0,True,1,Der große gelbe Fuchs sieht den großen weißen Löwen nicht und der große weiße Löwe sieht den großen gelben Fuchs.,Der große weiße Löwe wird nicht von dem großen gelben Fuchs gesehen und der große gelbe Fuchs wird von dem großen weißen Löwen gesehen.
ko,train,negation,0,True,1,큰 노란 여우가 큰 하얀 사자를 보지 않는다는 것과 큰 하얀 사자가 큰 노란 여우를 본다는 것이 모두 사실이다.,큰 하얀 사자를 큰 노란 여우가 보지 않는다는 것과 큰 노란 여우를 큰 하얀 사자가 본다는 것이 모두 사실이다.
en,train,negation,0,False,0,The young white dog sees the large yellow cow and the large yellow cow does not see the young white dog.,The large yellow cow is not seen by the young white dog and the young white dog is seen by the large yellow cow.
de,train,negation,0,False,0,Der junge weiße Hund sieht die große gelbe Kuh und die große gelbe Kuh sieht den jungen weißen Hund nicht.,Die große gelbe Kuh wird nicht von dem jungen weißen Hund gesehen und der junge weiße Hund wird von der großen gelben Kuh gesehen.
ko,train,negation,0,False,0,어린 하얀 개가 큰 노란 소를 본다는 것과 큰 노란 소가 어린 하얀 개를 보지 않는다는 것이 모두 사실이다.,큰 노란 소를 어린 하얀 개가 보지 않는다는 것과 어린 하얀 개를 큰 노란 소가 본다는 것이 모두 사실이다.
en,train,negation,0,False,1,The young white dog sees the large yellow cow and the large yellow cow does not see the young white dog.,The large yellow cow is seen by the young white dog and the young white dog is not seen by the large yellow cow.
de,train,negation,0,False,1,Der junge weiße Hund sieht die große gelbe Kuh und die große gelbe Kuh sieht den jungen weißen Hund nicht.,Die große gelbe Kuh wird von dem jungen weißen Hund gesehen und der junge weiße Hund wird nicht von der großen gelben Kuh gesehen.
ko,train,negation,0,False,1,어린 하얀 개가 큰 노란 소를 본다는 것과 큰 노란 소가 어린 하얀 개를 보지 않는다는 것이 모두 사실이다.,큰 노란 소를 어린 하얀 개가 본다는 것과 어린 하얀 개를 큰 노란 소가 보지 않는다는 것이 모두 사실이다.
en,train,negation,1,False,0,The small white lion greets the small green hen and the small green hen does not greet the small white lion.,The small green hen is not greeted by the small white lion and the small white lion is greeted by the small green hen.
de,train,negation,1,False,0,Der kleine weiße Löwe grüßt das kleine grüne Huhn und das kleine grüne Huhn grüßt den kleinen weißen Löwen nicht.,Das kleine grüne Huhn wird nicht von dem kleinen weißen Löwen gegrüßt und der kleine weiße Löwe wird von dem kleinen grünen Huhn gegrüßt.
ko,train,negation,1,False,0,작은 하얀 사자가 작은 초록색 닭을 맞이한다는 것과 작은 초록색 닭이 작은 하얀 사자를 맞이하지 않는다는 것이 모두 사실이다.,작은 초록색 닭을 작은 하얀 사자가 맞이하지 않는다는 것과 작은 하얀 사자를 작은 초록색 닭이 맞이한다는 것이 모두 사실이다.
en,train,negation,1,False,1,The small white lion greets the small green hen and the small green hen does not greet the small white lion.,The small green hen is greeted by the small white lion and the small white lion is not greeted by the small green hen.
de,train,negation,1,False,1,Der kleine weiße Löwe grüßt das kleine grüne Huhn und das kleine grüne Huhn grüßt den kleinen weißen Löwen nicht.,Das kleine grüne Huhn wird von dem kleinen weißen Löwen gegrüßt und der kleine weiße Löwe wird nicht von dem kleinen grünen Huhn gegrüßt.
ko,train,negation,1,False,1,작은 하얀 사자가 작은 초록색 닭을 맞이한다는 것과 작은 초록색 닭이 작은 하얀 사자를 맞이하지 않는다는 것이 모두 사실이다.,작은 초록색 닭을 작은 하얀 사자가 맞이한다는 것과 작은 하얀 사자를 작은 초록색 닭이 맞이하지 않는다는 것이 모두 사실이다.
en,train,negation,2,True,0,The small white cow does not follow the large green lion and the large green lion follows the small white cow.,The large green lion is followed by the small white cow and the small white cow is not followed by the large green lion.
de,train,negation,2,True,0,Die kleine weiße Kuh verfolgt den großen grünen Löwen nicht und der große grüne Löwe verfolgt die kleine weiße Kuh.,Der große grüne Löwe wird von der kleinen weißen Kuh verfolgt und die kleine weiße Kuh wird nicht von dem großen grünen Löwen verfolgt.
ko,train,negation,2,True,0,작은 하얀 소가 큰 초록색 사자를 뒤따르지 않는다는 것과 큰 초록색 사자가 작은 하얀 소를 뒤따른다는 것이 모두 사실이다.,큰 초록색 사자를 작은 하얀 소가 뒤따른다는 것과 작은 하얀 소를 큰 초록색 사자가 뒤따르지 않는다는 것이 모두 사실이다.
en,train,negation,2,True,1,The small white cow does not follow the large green lion and the large green lion follows the small white cow.,The large green lion is not followed by the small white cow and the small white cow is followed by the large green lion.
de,train,negation,2,True,1,Die kleine weiße Kuh verfolgt den großen grünen Löwen nicht und der große grüne Löwe verfolgt die kleine weiße Kuh.,Der große grüne Löwe wird nicht von der kleinen weißen Kuh verfolgt und die kleine weiße Kuh wird von dem großen grünen Löwen verfolgt.
ko,train,negation,2,True,1,작은 하얀 소가 큰 초록색 사자를 뒤따르지 않는다는 것과 큰 초록색 사자가 작은 하얀 소를 뒤따른다는 것이 모두 사실이다.,큰 초록색 사자를 작은 하얀 소가 뒤따르지 않는다는 것과 작은 하얀 소를 큰 초록색 사자가 뒤따른다는 것이 모두 사실이다.
en,train,negation,2,False,0,The small red cat follows the young white hen and the young white hen does not follow the small red cat.,The young white hen is not followed by the small red cat and the small red cat is followed by the young white hen.
de,train,negation,2,False,0,Die kleine rote Katze verfolgt das junge weiße Huhn und das junge weiße Huhn verfolgt die kleine rote Katze nicht.,Das junge weiße Huhn wird nicht von der kleinen roten Katze verfolgt und die kleine rote Katze wird von dem jungen weißen Huhn verfolgt.
ko,train,negation,2,False,0,작은 빨간 고양이가 어린 하얀 닭을 뒤따른다는 것과 어린 하얀 닭이 작은 빨간 고양이를 뒤따르지 않는다는 것이 모두 사실이다.,어린 하얀 닭을 작은 빨간 고양이가 뒤따르지 않는다는 것과 작은 빨간 고양이를 어린 하얀 닭이 뒤따른다는 것이 모두 사실이다.
en,train,negation,2,False,1,The small red cat follows the young white hen and the young white hen does not follow the small red cat.,The young white hen is followed by the small red cat and the small red cat is not followed by the young white hen.
de,train,negation,2,False,1,Die kleine rote Katze verfolgt das junge weiße Huhn und das junge weiße Huhn verfolgt die kleine rote Katze nicht.,Das junge weiße Huhn wird von der kleinen roten Katze verfolgt und die kleine rote Katze wird nicht von dem jungen weißen Huhn verfolgt.
ko,train,negation,2,False,1,작은 빨간 고양이가 어린 하얀 닭을 뒤따른다는 것과 어린 하얀 닭이 작은 빨간 고양이를 뒤따르지 않는다는 것이 모두 사실이다.,어린 하얀 닭을 작은 빨간 고양이가 뒤따른다는 것과 작은 빨간 고양이를 어린 하얀 닭이 뒤따르지 않는다는 것이 모두 사실이다.
en,train,negation,1,True,0,The large red horse does not greet the large red lion and the large red lion greets the large red horse.,The large red lion is greeted by the large red horse and the large red horse is not greeted by the large red lion.
de,train,negation,1,True,0,Das große rote Pferd grüßt den großen roten Löwen nicht und der große rote Löwe grüßt das große rote Pferd.,Der große rote Löwe wird von dem großen roten Pferd gegrüßt und das große rote Pferd wird nicht von dem großen roten Löwen gegrüßt.
ko,train,negation,1,True,0,큰 빨간 말이 큰 빨간 사자를 맞이하지 않는다는 것과 큰 빨간 사자가 큰 빨간 말을 맞이한다는 것이 모두 사실이다.,큰 빨간 사자를 큰 빨간 말이 맞이한다는 것과 큰 빨간 말을 큰 빨간 사자가 맞이하지 않는다는 것이 모두 사실이다.
en,train,negation,1,True,1,The large red horse does not greet the large red lion and the large red lion greets the large red horse.,The large red lion is not greeted by the large red horse and the large red horse is greeted by the large red lion.
de,train,negation,1,True,1,Das große rote Pferd grüßt den großen roten Löwen nicht und der große rote Löwe grüßt das große rote Pferd.,Der große rote Löwe wird nicht von dem großen roten Pferd gegrüßt und das große rote Pferd wird von dem großen roten Löwen gegrüßt.
ko,train,negation,1,True,1,큰 빨간 말이 큰 빨간 사자를 맞이하지 않는다는 것과 큰 빨간 사자가 큰 빨간 말을 맞이한다는 것이 모두 사실이다.,큰 빨간 사자를 큰 빨간 말이 맞이하지 않는다는 것과 큰 빨간 말을 큰 빨간 사자가 맞이한다는 것이 모두 사실이다.
en,train,space,1,True,0,The small yellow lion is to the left of the young blue bear and the small green rabbit is to the right of the small green cat.,The young blue bear is to the left of the small yellow lion and the small green cat is to the right of the small green rabbit.
de,train,space,1,True,0,Der kleine gelbe Löwe ist links von dem jungen blauen Bären und das kleine grüne Kaninchen ist rechts von der kleinen grünen Katze.,Der junge blaue Bär ist links von dem kleinen gelben Löwen und die kleine grüne Katze ist rechts von dem kleinen grünen Kaninchen.
ko,train,space,1,True,0,작은 노란 사자는 어린 파란 곰의 왼쪽에 있다는 것과 작은 초록색 토끼는 작은 초록색 고양이의 오른쪽에 있다는 것이 모두 사실이다.,어린 파란 곰은 작은 노란 사자의 왼쪽에 있다는 것과 작은 초록색 고양이는 작은 초록색 토끼의 오른쪽에 있다는 것이 모두 사실이다.
en,train,space,1,True,1,The small yellow lion is to the left of the young blue bear and the small green rabbit is to the right of the small green cat.,The young blue bear is to the right of the small yellow lion and the small green cat is to the left of the small green rabbit.
de,train,space,1,True,1,Der kleine gelbe Löwe ist links von dem jungen blauen Bären und das kleine grüne Kaninchen ist rechts von der kleinen grünen Katze.,Der junge blaue Bär ist rechts von dem kleinen gelben Löwen und die kleine grüne Katze ist links von dem kleinen grünen Kaninchen.
ko,train,space,1,True,1,작은 노란 사자는 어린 파란 곰의 왼쪽에 있다는 것과 작은 초록색 토끼는 작은 초록색 고양이의 오른쪽에 있다는 것이 모두 사실이다.,어린 파란 곰은 작은 노란 사자의 오른쪽에 있다는 것과 작은 초록색 고양이는 작은 초록색 토끼의 왼쪽에 있다는 것이 모두 사실이다.
en,train,space,2,False,0,The old red dog is to the right of the small blue horse and the large yellow horse is to the left of the young red bear.,The small blue horse is to the right of the old red dog and the young red bear is to the left of the large yellow horse.
de,train,space,2,False,0,Der alte rote Hund ist rechts von dem kleinen blauen Pferd und das große gelbe Pferd ist links von dem jungen roten Bären.,Das kleine blaue Pferd ist rechts von dem alten roten Hund und der junge rote Bär ist links von dem großen gelben Pferd.
ko,train,space,2,False,0,늙은 빨간 개는 작은 파란 말의 오른쪽에 있다는 것과 큰 노란 말은 어린 빨간 곰의 왼쪽에 있다는 것이 모두 사실이다.,작은 파란 말은 늙은 빨간 개의 오른쪽에 있다는 것과 어린 빨간 곰은 큰 노란 말의 왼쪽에 있다는 것이 모두 사실이다.
en,train,space,2,False,1,The old red dog is to the right of the small blue horse and the large yellow horse is to the left of the young red bear.,The small blue horse is to the left of the old red dog and the young red bear is to the right of the large yellow horse.
de,train,space,2,False,1,Der alte rote Hund ist rechts von dem kleinen blauen Pferd und das große gelbe Pferd ist links von dem jungen roten Bären.,Das kleine blaue Pferd ist links von dem alten roten Hund und der junge rote Bär ist rechts von dem großen gelben Pferd.
ko,train,space,2,False,1,늙은 빨간 개는 작은 파란 말의 오른쪽에 있다는 것과 큰 노란 말은 어린 빨간 곰의 왼쪽에 있다는 것이 모두 사실이다.,작은 파란 말은 늙은 빨간 개의 왼쪽에 있다는 것과 어린 빨간 곰은 큰 노란 말의 오른쪽에 있다는 것이 모두 사실이다.
en,train,space,2,True,0,The small white duck is to the right of the young red mouse and the old white hen is to the left of the large yellow cow.,The young red mouse is to the right of the small white duck and the large yellow cow is to the left of the old white hen.
de,train,space,2,True,0,Die kleine weiße Ente ist rechts von der jungen roten Maus und das alte weiße Huhn ist links von der großen gelben Kuh.,Die junge rote Maus ist rechts von der kleinen weißen Ente und die große gelbe Kuh ist links von dem alten weißen Huhn.
ko,train,space,2,True,0,작은 하얀 오리는 어린 빨간 쥐의 오른쪽에 있다는 것과 늙은 하얀 닭은 큰 노란 소의 왼쪽에 있다는 것이 모두 사실이다.,어린 빨간 쥐는 작은 하얀 오리의 오른쪽에 있다는 것과 큰 노란 소는 늙은 하얀 닭의 왼쪽에 있다는 것이 모두 사실이다.
en,train,space,2,True,1,The small white duck is to the right of the young red mouse and the old white hen is to the left of the large yellow cow.,The young red mouse is to the left of the small white duck and the large yellow cow is to the right of the old white hen.
de,train,space,2,True,1,Die kleine weiße Ente ist rechts von der jungen roten Maus und das alte weiße Huhn ist links von der großen gelben Kuh.,Die junge rote Maus ist links von der kleinen weißen Ente und die große gelbe Kuh ist rechts von dem alten weißen Huhn.
ko,train,space,2,True,1,작은 하얀 오리는 어린 빨간 쥐의 오른쪽에 있다는 것과 늙은 하얀 닭은 큰 노란 소의 왼쪽에 있다는 것이 모두 사실이다.,어린 빨간 쥐는 작은 하얀 오리의 왼쪽에 있다는 것과 큰 노란 소는 늙은 하얀 닭의 오른쪽에 있다는 것이 모두 사실이다.
en,train,space,0,False,0,The small green cow is to the right of the small red sheep and the young white duck is to the left of the small blue duck.,The small red sheep is to the right of the small green cow and the small blue duck is to the left of the young white duck.
de,train,space,0,False,0,Die kleine grüne Kuh ist rechts von dem kleinen roten Schaf und die junge weiße Ente ist links von der kleinen blauen Ente.,Das kleine rote Schaf ist rechts von der kleinen grünen Kuh und die kleine blaue Ente ist links von der jungen weißen Ente.
ko,train,space,0,False,0,작은 초록색 소는 작은 빨간 양의 오른쪽에 있다는 것과 어린 하얀 오리는 작은 파란 오리의 왼쪽에 있다는 것이 모두 사실이다.,작은 빨간 양은 작은 초록색 소의 오른쪽에 있다는 것과 작은 파란 오리는 어린 하얀 오리의 왼쪽에 있다는 것이 모두 사실이다.
en,train,space,0,False,1,The small green cow is to the right of the small red sheep and the young white duck is to the left of the small blue duck.,The small red sheep is to the left of the small green cow and the small blue duck is to the right of the young white duck.
de,train,space,0,False,1,Die kleine grüne Kuh ist rechts von dem kleinen roten Schaf und die junge weiße Ente ist links von der kleinen blauen Ente.,Das kleine rote Schaf ist links von der kleinen grünen Kuh und die kleine blaue Ente ist rechts von der jungen weißen Ente.
ko,train,space,0,False,1,작은 초록색 소는 작은 빨간 양의 오른쪽에 있다는 것과 어린 하얀 오리는 작은 파란 오리의 왼쪽에 있다는 것이 모두 사실이다.,작은 빨간 양은 작은 초록색 소의 왼쪽에 있다는 것과 작은 파란 오리는 어린 하얀 오리의 오른쪽에 있다는 것이 모두 사실이다.
en,train,space,0,True,0,The young black cat is in front of the young white bear and the small red lion is behind the young black lion.,The young white bear is in front of the young black cat and the young black lion is behind the small red lion.
de,train,space,0,True,0,Die junge schwarze Katze ist vor dem jungen weißen Bären und der kleine rote Löwe ist hinter dem jungen schwarzen Löwen.,Der junge weiße Bär ist vor der jungen schwarzen Katze und der junge schwarze Löwe ist hinter dem kleinen roten Löwen.
ko,train,space,0,True,0,어린 검은 고양이는 어린 하얀 곰의 앞에 있다는 것과 작은 빨간 사자는 어린 검은 사자의 뒤에 있다는 것이 모두 사실이다.,어린 하얀 곰은 어린 검은 고양이의 앞에 있다는 것과 어린 검은 사자는 작은 빨간 사자의 뒤에 있다는 것이 모두 사실이다.
en,train,space,0,True,1,The young black cat is in front of the young white bear and the small red lion is behind the young black lion.,The young white bear is behind the young black cat and the young black lion is in front of the small red lion.
de,train,space,0,True,1,Die junge schwarze Katze ist vor dem jungen weißen Bären und der kleine rote Löwe ist hinter dem jungen schwarzen Löwen.,Der junge weiße Bär ist hinter der jungen schwarzen Katze und der junge schwarze Löwe ist vor dem kleinen roten Löwen.
ko,train,space,0,True,1,어린 검은 고양이는 어린 하얀 곰의 앞에 있다는 것과 작은 빨간 사자는 어린 검은 사자의 뒤에 있다는 것이 모두 사실이다.,어린 하얀 곰은 어린 검은 고양이의 뒤에 있다는 것과 어린 검은 사자는 작은 빨간 사자의 앞에 있다는 것이 모두 사실이다.
en,train,space,1,False,0,The young yellow sheep is behind the small yellow lion and the large red duck is in front of the old red fox.,The small yellow lion is behind the young yellow sheep and the old red fox is in front of the large red duck.
de,train,space,1,False,0,Das junge gelbe Schaf ist hinter dem kleinen gelben Löwen und die große rote Ente ist vor dem alten roten Fuchs.,Der kleine gelbe Löwe ist hinter dem jungen gelben Schaf und der alte rote Fuchs ist vor der großen roten Ente.
ko,train,space,1,False,0,어린 노란 양은 작은 노란 사자의 뒤에 있다는 것과 큰 빨간 오리는 늙은 빨간 여우의 앞에 있다는 것이 모두 사실이다.,작은 노란 사자는 어린 노란 양의 뒤에 있다는 것과 늙은 빨간 여우는 큰 빨간 오리의 앞에 있다는 것이 모두 사실이다.
en,train,space,1,False,1,The young yellow sheep is behind the small yellow lion and the large red duck is in front of the old red fox.,The small yellow lion is in front of the young yellow sheep and the old red fox is behind the large red duck.
de,train,space,1,False,1,Das junge gelbe Schaf ist hinter dem kleinen gelben Löwen und die große rote Ente ist vor dem alten roten Fuchs.,Der kleine gelbe Löwe ist vor dem jungen gelben Schaf und der alte rote Fuchs ist hinter der großen roten Ente.
ko,train,space,1,False,1,어린 노란 양은 작은 노란 사자의 뒤에 있다는 것과 큰 빨간 오리는 늙은 빨간 여우의 앞에 있다는 것이 모두 사실이다.,작은 노란 사자는 어린 노란 양의 앞에 있다는 것과 늙은 빨간 여우는 큰 빨간 오리의 뒤에 있다는 것이 모두 사실이다.
en,train,quantity,1,True,0,There are eight young black dogs and six small yellow lions.,There are eight small yellow lions and six young black dogs.
de,train,quantity,1,True,0,Es gibt acht junge schwarze Hunde und sechs kleine gelbe Löwen.,Es gibt acht kleine gelbe Löwen und sechs junge schwarze Hunde.
ko,train,quantity,1,True,0,어린 검은 개 여덟 마리와 작은 노란 사자 여섯 마리가 있다.,작은 노란 사자 여덟 마리와 어린 검은 개 여섯 마리가 있다.
en,train,quantity,1,True,1,There are eight young black dogs and six small yellow lions.,There are six small yellow lions and eight young black dogs.
de,train,quantity,1,True,1,Es gibt acht junge schwarze Hunde und sechs kleine gelbe Löwen.,Es gibt sechs kleine gelbe Löwen und acht junge schwarze Hunde.
ko,train,quantity,1,True,1,어린 검은 개 여덟 마리와 작은 노란 사자 여섯 마리가 있다.,작은 노란 사자 여섯 마리와 어린 검은 개 여덟 마리가 있다.
en,train,quantity,1,False,0,There are five small green lions and six old blue cows.,There are five old blue cows and six small green lions.
de,train,quantity,1,False,0,Es gibt fünf kleine grüne Löwen und sechs alte blaue Kühe.,Es gibt fünf alte blaue Kühe und sechs kleine grüne Löwen.
ko,train,quantity,1,False,0,작은 초록색 사자 다섯 마리와 늙은 파란 소 여섯 마리가 있다.,늙은 파란 소 다섯 마리와 작은 초록색 사자 여섯 마리가 있다.
en,train,quantity,1,False,1,There are five small green lions and six old blue cows.,There are six old blue cows and five small green lions.
de,train,quantity,1,False,1,Es gibt fünf kleine grüne Löwen und sechs alte blaue Kühe.,Es gibt sechs alte blaue Kühe und fünf kleine grüne Löwen.
ko,train,quantity,1,False,1,작은 초록색 사자 다섯 마리와 늙은 파란 소 여섯 마리가 있다.,늙은 파란 소 여섯 마리와 작은 초록색 사자 다섯 마리가 있다.
en,train,quantity,2,False,0,There are three small white dogs and four old blue hens.,There are three old blue hens and four small white dogs.
de,train,quantity,2,False,0,Es gibt drei kleine weiße Hunde und vier alte blaue Hühner.,Es gibt drei alte blaue Hühner und vier kleine weiße Hunde.
ko,train,quantity,2,False,0,작은 하얀 개 세 마리와 늙은 파란 닭 네 마리가 있다.,늙은 파란 닭 세 마리와 작은 하얀 개 네 마리가 있다.
en,train,quantity,2,False,1,There are three small white dogs and four old blue hens.,There are four old blue hens and three small white dogs.
de,train,quantity,2,False,1,Es gibt drei kleine weiße Hunde und vier alte blaue Hühner.,Es gibt vier alte blaue Hühner und drei kleine weiße Hunde.
ko,train,quantity,2,False,1,작은 하얀 개 세 마리와 늙은 파란 닭 네 마리가 있다.,늙은 파란 닭 네 마리와 작은 하얀 개 세 마리가 있다.
en,train,quantity,0,False,0,There are two old red mice and four large green ducks.,There are two large green ducks and four old red mice.
de,train,quantity,0,False,0,Es gibt zwei alte rote Mäuse und vier große grüne Enten.,Es gibt zwei große grüne Enten und vier alte rote Mäuse.
ko,train,quantity,0,False,0,늙은 빨간 쥐 두 마리와 큰 초록색 오리 네 마리가 있다.,큰 초록색 오리 두 마리와 늙은 빨간 쥐 네 마리가 있다.
en,train,quantity,0,False,1,There are two old red mice and four large green ducks.,There are four large green ducks and two old red mice.
de,train,quantity,0,False,1,Es gibt zwei alte rote Mäuse und vier große grüne Enten.,Es gibt vier große grüne Enten und zwei alte rote Mäuse.
ko,train,quantity,0,False,1,늙은 빨간 쥐 두 마리와 큰 초록색 오리 네 마리가 있다.,큰 초록색 오리 네 마리와 늙은 빨간 쥐 두 마리가 있다.
en,train,quantity,2,True,0,There are eight young white ducks and two small yellow rabbits.,There are eight small yellow rabbits and two young white ducks.
de,train,quantity,2,True,0,Es gibt acht junge weiße Enten und zwei kleine gelbe Kaninchen.,Es gibt acht kleine gelbe Kaninchen und zwei junge weiße Enten.
ko,train,quantity,2,True,0,어린 하얀 오리 여덟 마리와 작은 노란 토끼 두 마리가 있다.,작은 노란 토끼 여덟 마리와 어린 하얀 오리 두 마리가 있다.
en,train,quantity,2,True,1,There are eight young white ducks and two small yellow rabbits.,There are two small yellow rabbits and eight young white ducks.
de,train,quantity,2,True,1,Es gibt acht junge weiße Enten und zwei kleine gelbe Kaninchen.,Es gibt zwei kleine gelbe Kaninchen und acht junge weiße Enten.
ko,train,quantity,2,True,1,어린 하얀 오리 여덟 마리와 작은 노란 토끼 두 마리가 있다.,작은 노란 토끼 두 마리와 어린 하얀 오리 여덟 마리가 있다.
en,train,quantity,0,True,0,There are two old black sheep and four large white bears.,There are two large white bears and four old black sheep.
de,train,quantity,0,True,0,Es gibt zwei alte schwarze Schafe und vier große weiße Bären.,Es gibt zwei große weiße Bären und vier alte schwarze Schafe.
ko,train,quantity,0,True,0,늙은 검은 양 두 마리와 큰 하얀 곰 네 마리가 있다.,큰 하얀 곰 두 마리와 늙은 검은 양 네 마리가 있다.
en,train,quantity,0,True,1,There are two old black sheep and four large white bears.,There are four large white bears and two old black sheep.
de,train,quantity,0,True,1,Es gibt zwei alte schwarze Schafe und vier große weiße Bären.,Es gibt vier große weiße Bären und zwei alte schwarze Schafe.
ko,train,quantity,0,True,1,늙은 검은 양 두 마리와 큰 하얀 곰 네 마리가 있다.,큰 하얀 곰 네 마리와 늙은 검은 양 두 마리가 있다.
en,dev_a,roles,2,False,0,Is it true that the old white lion follows the old green fox and the old green fox greets the old white lion?,Is it true that the old green fox is greeted by the old white lion and the old white lion is followed by the old green fox?
de,dev_a,roles,2,False,0,"Stimmt es, dass der alte weiße Löwe den alten grünen Fuchs verfolgt und der alte grüne Fuchs den alten weißen Löwen grüßt?","Stimmt es, dass der alte grüne Fuchs von dem alten weißen Löwen gegrüßt wird und der alte weiße Löwe von dem alten grünen Fuchs verfolgt wird?"
