language,noun,color,attribute,case,count_index,surface
en,dog,blue,small,plural,4,six small blue dogs
en,dog,blue,small,plural,5,seven small blue dogs
en,dog,blue,small,plural,6,eight small blue dogs
en,dog,blue,large,nom,,the large blue dog
en,dog,blue,large,acc,,the large blue dog
en,dog,blue,large,dat,,the large blue dog
en,dog,blue,large,plural,0,two large blue dogs
en,dog,blue,large,plural,1,three large blue dogs
en,dog,blue,large,plural,2,four large blue dogs
en,dog,blue,large,plural,3,five large blue dogs
en,dog,blue,large,plural,4,six large blue dogs
en,dog,blue,large,plural,5,seven large blue dogs
en,dog,blue,large,plural,6,eight large blue dogs
en,dog,blue,young,nom,,the young blue dog
en,dog,blue,young,acc,,the young blue dog
en,dog,blue,young,dat,,the young blue dog
en,dog,blue,young,plural,0,two young blue dogs
en,dog,blue,young,plural,1,three young blue dogs
en,dog,blue,young,plural,2,four young blue dogs
en,dog,blue,young,plural,3,five young blue dogs
en,dog,blue,young,plural,4,six young blue dogs
en,dog,blue,young,plural,5,seven young blue dogs
en,dog,blue,young,plural,6,eight young blue dogs
en,dog,blue,old,nom,,the old blue dog
en,dog,blue,old,acc,,the old blue dog
en,dog,blue,old,dat,,the old blue dog
en,dog,blue,old,plural,0,two old blue dogs
en,dog,blue,old,plural,1,three old blue dogs
en,dog,blue,old,plural,2,four old blue dogs
en,dog,blue,old,plural,3,five old blue dogs
en,dog,blue,old,plural,4,six old blue dogs
en,dog,blue,old,plural,5,seven old blue dogs
en,dog,blue,old,plural,6,eight old blue dogs
en,dog,green,small,nom,,the small green dog
en,dog,green,small,acc,,the small green dog
en,dog,green,small,dat,,the small green dog
en,dog,green,small,plural,0,two small green dogs
en,dog,green,small,plural,1,three small green dogs
en,dog,green,small,plural,2,four small green dogs
en,dog,green,small,plural,3,five small green dogs
en,dog,green,small,plural,4,six small green dogs
en,dog,green,small,plural,5,seven small green dogs
en,dog,green,small,plural,6,eight small green dogs
en,dog,green,large,nom,,the large green dog
en,dog,green,large,acc,,the large green dog
en,dog,green,large,dat,,the large green dog
en,dog,green,large,plural,0,two large green dogs
en,dog,green,large,plural,1,three large green dogs
en,dog,green,large,plural,2,four large green dogs
en,dog,green,large,plural,3,five large green dogs
en,dog,green,large,plural,4,six large green dogs
en,dog,green,large,plural,5,seven large green dogs
en,dog,green,large,plural,6,eight large green dogs
en,dog,green,young,nom,,the young green dog
en,dog,green,young,acc,,the young green dog
en,dog,green,young,dat,,the young green dog
en,dog,green,young,plural,0,two young green dogs
en,dog,green,young,plural,1,three young green dogs
en,dog,green,young,plural,2,four young green dogs
en,dog,green,young,plural,3,five young green dogs
en,dog,green,young,plural,4,six young green dogs
en,dog,green,young,plural,5,seven young green dogs
en,dog,green,young,plural,6,eight young green dogs
en,dog,green,old,nom,,the old green dog
en,dog,green,old,acc,,the old green dog
en,dog,green,old,dat,,the old green dog
en,dog,green,old,plural,0,two old green dogs
en,dog,green,old,plural,1,three old green dogs
en,dog,green,old,plural,2,four old green dogs
en,dog,green,old,plural,3,five old green dogs
en,dog,green,old,plural,4,six old green dogs
en,dog,green,old,plural,5,seven old green dogs
en,dog,green,old,plural,6,eight old green dogs
en,dog,yellow,small,nom,,the small yellow dog
en,dog,yellow,small,acc,,the small yellow dog
en,dog,yellow,small,dat,,the small yellow dog
en,dog,yellow,small,plural,0,two small yellow dogs
en,dog,yellow,small,plural,1,three small yellow dogs
en,dog,yellow,small,plural,2,four small yellow dogs
en,dog,yellow,small,plural,3,five small yellow dogs
en,dog,yellow,small,plural,4,six small yellow dogs
en,dog,yellow,small,plural,5,seven small yellow dogs
en,dog,yellow,small,plural,6,eight small yellow dogs
en,dog,yellow,large,nom,,the large yellow dog
en,dog,yellow,large,acc,,the large yellow dog
en,dog,yellow,large,dat,,the large yellow dog
en,dog,yellow,large,plural,0,two large yellow dogs
en,dog,yellow,large,plural,1,three large yellow dogs
en,dog,yellow,large,plural,2,four large yellow dogs
en,dog,yellow,large,plural,3,five large yellow dogs
en,dog,yellow,large,plural,4,six large yellow dogs
en,dog,yellow,large,plural,5,seven large yellow dogs
en,dog,yellow,large,plural,6,eight large yellow dogs
en,dog,yellow,young,nom,,the young yellow dog
en,dog,yellow,young,acc,,the young yellow dog
en,dog,yellow,young,dat,,the young yellow dog
en,dog,yellow,young,plural,0,two young yellow dogs
en,dog,yellow,young,plural,1,three young yellow dogs
en,dog,yellow,young,plural,2,four young yellow dogs
en,dog,yellow,young,plural,3,five young yellow dogs
en,dog,yellow,young,plural,4,six young yellow dogs
en,dog,yellow,young,plural,5,seven young yellow dogs
en,dog,yellow,young,plural,6,eight young yellow dogs
en,dog,yellow,old,nom,,the old yellow dog
en,dog,yellow,old,acc,,the old yellow dog
en,dog,yellow,old,dat,,the old yellow dog
en,dog,yellow,old,plural,0,two old yellow dogs
en,dog,yellow,old,plural,1,three old yellow dogs
en,dog,yellow,old,plural,2,four old yellow dogs
en,dog,yellow,old,plural,3,five old yellow dogs
en,dog,yellow,old,plural,4,six old yellow dogs
en,dog,yellow,old,plural,5,seven old yellow dogs
en,dog,yellow,old,plural,6,eight old yellow dogs
en,dog,black,small,nom,,the small black dog
en,dog,black,small,acc,,the small black dog
en,dog,black,small,dat,,the small black dog
en,dog,black,small,plural,0,two small black dogs
en,dog,black,small,plural,1,three small black dogs
en,dog,black,small,plural,2,four small black dogs
en,dog,black,small,plural,3,five small black dogs
en,dog,black,small,plural,4,six small black dogs
en,dog,black,small,plural,5,seven small black dogs
en,dog,black,small,plural,6,eight small black dogs
en,dog,black,large,nom,,the large black dog
en,dog,black,large,acc,,the large black dog
en,dog,black,large,dat,,the large black dog
en,dog,black,large,plural,0,two large black dogs
en,dog,black,large,plural,1,three large black dogs
en,dog,black,large,plural,2,four large black dogs
en,dog,black,large,plural,3,five large black dogs
en,dog,black,large,plural,4,six large black dogs
en,dog,black,large,plural,5,seven large black dogs
en,dog,black,large,plural,6,eight large black dogs
en,dog,black,young,nom,,the young black dog
en,dog,black,young,acc,,the young black dog
en,dog,black,young,dat,,the young black dog
en,dog,black,young,plural,0,two young black dogs
en,dog,black,young,plural,1,three young black dogs
en,dog,black,young,plural,2,four young black dogs
en,dog,black,young,plural,3,five young black dogs
en,dog,black,young,plural,4,six young black dogs
en,dog,black,young,plural,5,seven young black dogs
en,dog,black,young,plural,6,eight young black dogs
en,dog,black,old,nom,,the old black dog
en,dog,black,old,acc,,the old black dog
en,dog,black,old,dat,,the old black dog
en,dog,black,old,plural,0,two old black dogs
en,dog,black,old,plural,1,three old black dogs
en,dog,black,old,plural,2,four old black dogs
en,dog,black,old,plural,3,five old black dogs
en,dog,black,old,plural,4,six old black dogs
en,dog,black,old,plural,5,seven old black dogs
en,dog,black,old,plural,6,eight old black dogs
en,dog,white,small,nom,,the small white dog
en,dog,white,small,acc,,the small white dog
en,dog,white,small,dat,,the small white dog
en,dog,white,small,plural,0,two small white dogs
en,dog,white,small,plural,1,three small white dogs
en,dog,white,small,plural,2,four small white dogs
en,dog,white,small,plural,3,five small white dogs
en,dog,white,small,plural,4,six small white dogs
en,dog,white,small,plural,5,seven small white dogs
en,dog,white,small,plural,6,eight small white dogs
en,dog,white,large,nom,,the large white dog
en,dog,white,large,acc,,the large white dog
en,dog,white,large,dat,,the large white dog
en,dog,white,large,plural,0,two large white dogs
en,dog,white,large,plural,1,three large white dogs
en,dog,white,large,plural,2,four large white dogs
en,dog,white,large,plural,3,five large white dogs
en,dog,white,large,plural,4,six large white dogs
en,dog,white,large,plural,5,seven large white dogs
en,dog,white,large,plural,6,eight large white dogs
en,dog,white,young,nom,,the young white dog
en,dog,white,young,acc,,the young white dog
en,dog,white,young,dat,,the young white dog
en,dog,white,young,plural,0,two young white dogs
en,dog,white,young,plural,1,three young white dogs
en,dog,white,young,plural,2,four young white dogs
en,dog,white,young,plural,3,five young white dogs
en,dog,white,young,plural,4,six young white dogs
en,dog,white,young,plural,5,seven young white dogs
en,dog,white,young,plural,6,eight young white dogs
en,dog,white,old,nom,,the old white dog
en,dog,white,old,acc,,the old white dog
en,dog,white,old,dat,,the old white dog
en,dog,white,old,plural,0,two old white dogs
en,dog,white,old,plural,1,three old white dogs
en,dog,white,old,plural,2,four old white dogs
en,dog,white,old,plural,3,five old white dogs
en,dog,white,old,plural,4,six old white dogs
en,dog,white,old,plural,5,seven old white dogs
en,dog,white,old,plural,6,eight old white dogs
en,fox,red,small,nom,,the small red fox
en,fox,red,small,acc,,the small red fox
en,fox,red,small,dat,,the small red fox
en,fox,red,small,plural,0,two small red foxes
en,fox,red,small,plural,1,three small red foxes
en,fox,red,small,plural,2,four small red foxes
en,fox,red,small,plural,3,five small red foxes
en,fox,red,small,plural,4,six small red foxes
en,fox,red,small,plural,5,seven small red foxes
en,fox,red,small,plural,6,eight small red foxes
en,fox,red,large,nom,,the large red fox
en,fox,red,large,acc,,the large red fox
en,fox,red,large,dat,,the large red fox
en,fox,red,large,plural,0,two large red foxes
en,fox,red,large,plural,1,three large red foxes
en,fox,red,large,plural,2,four large red foxes
en,fox,red,large,plural,3,five large red foxes
en,fox,red,large,plural,4,six large red foxes
en,fox,red,large,plural,5,seven large red foxes
en,fox,red,large,plural,6,eight large red foxes
en,fox,red,young,nom,,the young red fox
en,fox,red,young,acc,,the young red fox
en,fox,red,young,dat,,the young red fox
en,fox,red,young,plural,0,two young red foxes
en,fox,red,young,plural,1,three young red foxes
en,fox,red,young,plural,2,four young red foxes
en,fox,red,young,plural,3,five young red foxes
en,fox,red,young,plural,4,six young red foxes
en,fox,red,young,plural,5,seven young red foxes
en,fox,red,young,plural,6,eight young red foxes
en,fox,red,old,nom,,the old red fox
en,fox,red,old,acc,,the old red fox
en,fox,red,old,dat,,the old red fox
en,fox,red,old,plural,0,two old red foxes
en,fox,red,old,plural,1,three old red foxes
en,fox,red,old,plural,2,four old red foxes
en,fox,red,old,plural,3,five old red foxes
en,fox,red,old,plural,4,six old red foxes
en,fox,red,old,plural,5,seven old red foxes
en,fox,red,old,plural,6,eight old red foxes
en,fox,blue,small,nom,,the small blue fox
en,fox,blue,small,acc,,the small blue fox
en,fox,blue,small,dat,,the small blue fox
en,fox,blue,small,plural,0,two small blue foxes
en,fox,blue,small,plural,1,three small blue foxes
en,fox,blue,small,plural,2,four small blue foxes
en,fox,blue,small,plural,3,five small blue foxes
en,fox,blue,small,plural,4,six small blue foxes
en,fox,blue,small,plural,5,seven small blue foxes
en,fox,blue,small,plural,6,eight small blue foxes
en,fox,blue,large,nom,,the large blue fox
en,fox,blue,large,acc,,the large blue fox
en,fox,blue,large,dat,,the large blue fox
en,fox,blue,large,plural,0,two large blue foxes
en,fox,blue,large,plural,1,three large blue foxes
en,fox,blue,large,plural,2,four large blue foxes
en,fox,blue,large,plural,3,five large blue foxes
en,fox,blue,large,plural,4,six large blue foxes
en,fox,blue,large,plural,5,seven large blue foxes
en,fox,blue,large,plural,6,eight large blue foxes
en,fox,blue,young,nom,,the young blue fox
en,fox,blue,young,acc,,the young blue fox
en,fox,blue,young,dat,,the young blue fox
en,fox,blue,young,plural,0,two young blue foxes
en,fox,blue,young,plural,1,three young blue foxes
en,fox,blue,young,plural,2,four young blue foxes
en,fox,blue,young,plural,3,five young blue foxes
en,fox,blue,young,plural,4,six young blue foxes
en,fox,blue,young,plural,5,seven young blue foxes
en,fox,blue,young,plural,6,eight young blue foxes
en,fox,blue,old,nom,,the old blue fox
en,fox,blue,old,acc,,the old blue fox
en,fox,blue,old,dat,,the old blue fox
en,fox,blue,old,plural,0,two old blue foxes
en,fox,blue,old,plural,1,three old blue foxes
en,fox,blue,old,plural,2,four old blue foxes
en,fox,blue,old,plural,3,five old blue foxes
en,fox,blue,old,plural,4,six old blue foxes
en,fox,blue,old,plural,5,seven old blue foxes
en,fox,blue,old,plural,6,eight old blue foxes
en,fox,green,small,nom,,the small green fox
en,fox,green,small,acc,,the small green fox
en,fox,green,small,dat,,the small green fox
en,fox,green,small,plural,0,two small green foxes
en,fox,green,small,plural,1,three small green foxes
en,fox,green,small,plural,2,four small green foxes
en,fox,green,small,plural,3,five small green foxes
en,fox,green,small,plural,4,six small green foxes
en,fox,green,small,plural,5,seven small green foxes
en,fox,green,small,plural,6,eight small green foxes
en,fox,green,large,nom,,the large green fox
en,fox,green,large,acc,,the large green fox
en,fox,green,large,dat,,the large green fox
en,fox,green,large,plural,0,two large green foxes
en,fox,green,large,plural,1,three large green foxes
en,fox,green,large,plural,2,four large green foxes
en,fox,green,large,plural,3,five large green foxes
en,fox,green,large,plural,4,six large green foxes
en,fox,green,large,plural,5,seven large green foxes
en,fox,green,large,plural,6,eight large green foxes
en,fox,green,young,nom,,the young green fox
en,fox,green,young,acc,,the young green fox
en,fox,green,young,dat,,the young green fox
en,fox,green,young,plural,0,two young green foxes
en,fox,green,young,plural,1,three young green foxes
en,fox,green,young,plural,2,four young green foxes
en,fox,green,young,plural,3,five young green foxes
en,fox,green,young,plural,4,six young green foxes
en,fox,green,young,plural,5,seven young green foxes
en,fox,green,young,plural,6,eight young green foxes
en,fox,green,old,nom,,the old green fox
en,fox,green,old,acc,,the old green fox
en,fox,green,old,dat,,the old green fox
en,fox,green,old,plural,0,two old green foxes
en,fox,green,old,plural,1,three old green foxes
en,fox,green,old,plural,2,four old green foxes
en,fox,green,old,plural,3,five old green foxes
en,fox,green,old,plural,4,six old green foxes
en,fox,green,old,plural,5,seven old green foxes
en,fox,green,old,plural,6,eight old green foxes
en,fox,yellow,small,nom,,the small yellow fox
en,fox,yellow,small,acc,,the small yellow fox
en,fox,yellow,small,dat,,the small yellow fox
en,fox,yellow,small,plural,0,two small yellow foxes
en,fox,yellow,small,plural,1,three small yellow foxes
en,fox,yellow,small,plural,2,four small yellow foxes
en,fox,yellow,small,plural,3,five small yellow foxes
en,fox,yellow,small,plural,4,six small yellow foxes
en,fox,yellow,small,plural,5,seven small yellow foxes
en,fox,yellow,small,plural,6,eight small yellow foxes
en,fox,yellow,large,nom,,the large yellow fox
en,fox,yellow,large,acc,,the large yellow fox
en,fox,yellow,large,dat,,the large yellow fox
en,fox,yellow,large,plural,0,two large yellow foxes
en,fox,yellow,large,plural,1,three large yellow foxes
en,fox,yellow,large,plural,2,four large yellow foxes
en,fox,yellow,large,plural,3,five large yellow foxes
en,fox,yellow,large,plural,4,six large yellow foxes
en,fox,yellow,large,plural,5,seven large yellow foxes
en,fox,yellow,large,plural,6,eight large yellow foxes
en,fox,yellow,young,nom,,the young yellow fox
en,fox,yellow,young,acc,,the young yellow fox
en,fox,yellow,young,dat,,the young yellow fox
en,fox,yellow,young,plural,0,two young yellow foxes
en,fox,yellow,young,plural,1,three young yellow foxes
en,fox,yellow,young,plural,2,four young yellow foxes
en,fox,yellow,young,plural,3,five young yellow foxes
en,fox,yellow,young,plural,4,six young yellow foxes
en,fox,yellow,young,plural,5,seven young yellow foxes
en,fox,yellow,young,plural,6,eight young yellow foxes
en,fox,yellow,old,nom,,the old yellow fox
en,fox,yellow,old,acc,,the old yellow fox
en,fox,yellow,old,dat,,the old yellow fox
en,fox,yellow,old,plural,0,two old yellow foxes
en,fox,yellow,old,plural,1,three old yellow foxes
en,fox,yellow,old,plural,2,four old yellow foxes
en,fox,yellow,old,plural,3,five old yellow foxes
en,fox,yellow,old,plural,4,six old yellow foxes
en,fox,yellow,old,plural,5,seven old yellow foxes
en,fox,yellow,old,plural,6,eight old yellow foxes
en,fox,black,small,nom,,the small black fox
en,fox,black,small,acc,,the small black fox
en,fox,black,small,dat,,the small black fox
en,fox,black,small,plural,0,two small black foxes
en,fox,black,small,plural,1,three small black foxes
en,fox,black,small,plural,2,four small black foxes
en,fox,black,small,plural,3,five small black foxes
en,fox,black,small,plural,4,six small black foxes
en,fox,black,small,plural,5,seven small black foxes
en,fox,black,small,plural,6,eight small black foxes
en,fox,black,large,nom,,the large black fox
en,fox,black,large,acc,,the large black fox
en,fox,black,large,dat,,the large black fox
en,fox,black,large,plural,0,two large black foxes
en,fox,black,large,plural,1,three large black foxes
en,fox,black,large,plural,2,four large black foxes
en,fox,black,large,plural,3,five large black foxes
en,fox,black,large,plural,4,six large black foxes
en,fox,black,large,plural,5,seven large black foxes
en,fox,black,large,plural,6,eight large black foxes
en,fox,black,young,nom,,the young black fox
en,fox,black,young,acc,,the young black fox
en,fox,black,young,dat,,the young black fox
en,fox,black,young,plural,0,two young black foxes
en,fox,black,young,plural,1,three young black foxes
en,fox,black,young,plural,2,four young black foxes
en,fox,black,young,plural,3,five young black foxes
en,fox,black,young,plural,4,six young black foxes
en,fox,black,young,plural,5,seven young black foxes
en,fox,black,young,plural,6,eight young black foxes
en,fox,black,old,nom,,the old black fox
en,fox,black,old,acc,,the old black fox
en,fox,black,old,dat,,the old black fox
en,fox,black,old,plural,0,two old black foxes
en,fox,black,old,plural,1,three old black foxes
en,fox,black,old,plural,2,four old black foxes
en,fox,black,old,plural,3,five old black foxes
en,fox,black,old,plural,4,six old black foxes
en,fox,black,old,plural,5,seven old black foxes
en,fox,black,old,plural,6,eight old black foxes
en,fox,white,small,nom,,the small white fox
en,fox,white,small,acc,,the small white fox
en,fox,white,small,dat,,the small white fox
en,fox,white,small,plural,0,two small white foxes
en,fox,white,small,plural,1,three small white foxes
en,fox,white,small,plural,2,four small white foxes
en,fox,white,small,plural,3,five small white foxes
en,fox,white,small,plural,4,six small white foxes
en,fox,white,small,plural,5,seven small white foxes
en,fox,white,small,plural,6,eight small white foxes
en,fox,white,large,nom,,the large white fox
en,fox,white,large,acc,,the large white fox
en,fox,white,large,dat,,the large white fox
en,fox,white,large,plural,0,two large white foxes
en,fox,white,large,plural,1,three large white foxes
en,fox,white,large,plural,2,four large white foxes
en,fox,white,large,plural,3,five large white foxes
en,fox,white,large,plural,4,six large white foxes
en,fox,white,large,plural,5,seven large white foxes
en,fox,white,large,plural,6,eight large white foxes
en,fox,white,young,nom,,the young white fox
en,fox,white,young,acc,,the young white fox
en,fox,white,young,dat,,the young white fox
en,fox,white,young,plural,0,two young white foxes
en,fox,white,young,plural,1,three young white foxes
en,fox,white,young,plural,2,four young white foxes
en,fox,white,young,plural,3,five young white foxes
en,fox,white,young,plural,4,six young white foxes
en,fox,white,young,plural,5,seven young white foxes
en,fox,white,young,plural,6,eight young white foxes
en,fox,white,old,nom,,the old white fox
en,fox,white,old,acc,,the old white fox
en,fox,white,old,dat,,the old white fox
en,fox,white,old,plural,0,two old white foxes
en,fox,white,old,plural,1,three old white foxes
en,fox,white,old,plural,2,four old white foxes
en,fox,white,old,plural,3,five old white foxes
en,fox,white,old,plural,4,six old white foxes
en,fox,white,old,plural,5,seven old white foxes
en,fox,white,old,plural,6,eight old white foxes
en,bear,red,small,nom,,the small red bear
en,bear,red,small,acc,,the small red bear
en,bear,red,small,dat,,the small red bear
en,bear,red,small,plural,0,two small red bears
en,bear,red,small,plural,1,three small red bears
en,bear,red,small,plural,2,four small red bears
en,bear,red,small,plural,3,five small red bears
en,bear,red,small,plural,4,six small red bears
en,bear,red,small,plural,5,seven small red bears
en,bear,red,small,plural,6,eight small red bears
en,bear,red,large,nom,,the large red bear
en,bear,red,large,acc,,the large red bear
en,bear,red,large,dat,,the large red bear
en,bear,red,large,plural,0,two large red bears
en,bear,red,large,plural,1,three large red bears
en,bear,red,large,plural,2,four large red bears
en,bear,red,large,plural,3,five large red bears
en,bear,red,large,plural,4,six large red bears
en,bear,red,large,plural,5,seven large red bears
en,bear,red,large,plural,6,eight large red bears
en,bear,red,young,nom,,the young red bear
en,bear,red,young,acc,,the young red bear
en,bear,red,young,dat,,the young red bear
en,bear,red,young,plural,0,two young red bears
en,bear,red,young,plural,1,three young red bears
en,bear,red,young,plural,2,four young red bears
en,bear,red,young,plural,3,five young red bears
en,bear,red,young,plural,4,six young red bears
en,bear,red,young,plural,5,seven young red bears
en,bear,red,young,plural,6,eight young red bears
en,bear,red,old,nom,,the old red bear
en,bear,red,old,acc,,the old red bear
en,bear,red,old,dat,,the old red bear
en,bear,red,old,plural,0,two old red bears
en,bear,red,old,plural,1,three old red bears
en,bear,red,old,plural,2,four old red bears
en,bear,red,old,plural,3,five old red bears
en,bear,red,old,plural,4,six old red bears
en,bear,red,old,plural,5,seven old red bears
en,bear,red,old,plural,6,eight old red bears
en,bear,blue,small,nom,,the small blue bear
en,bear,blue,small,acc,,the small blue bear
en,bear,blue,small,dat,,the small blue bear
en,bear,blue,small,plural,0,two small blue bears
en,bear,blue,small,plural,1,three small blue bears
en,bear,blue,small,plural,2,four small blue bears
en,bear,blue,small,plural,3,five small blue bears
en,bear,blue,small,plural,4,six small blue bears
en,bear,blue,small,plural,5,seven small blue bears
en,bear,blue,small,plural,6,eight small blue bears
en,bear,blue,large,nom,,the large blue bear
en,bear,blue,large,acc,,the large blue bear
en,bear,blue,large,dat,,the large blue bear
en,bear,blue,large,plural,0,two large blue bears
en,bear,blue,large,plural,1,three large blue bears
en,bear,blue,large,plural,2,four large blue bears
en,bear,blue,large,plural,3,five large blue bears
en,bear,blue,large,plural,4,six large blue bears
en,bear,blue,large,plural,5,seven large blue bears
en,bear,blue,large,plural,6,eight large blue bears
en,bear,blue,young,nom,,the young blue bear
en,bear,blue,young,acc,,the young blue bear
en,bear,blue,young,dat,,the young blue bear
en,bear,blue,young,plural,0,two young blue bears
en,bear,blue,young,plural,1,three young blue bears
en,bear,blue,young,plural,2,four young blue bears
en,bear,blue,young,plural,3,five young blue bears
en,bear,blue,young,plural,4,six young blue bears
en,bear,blue,young,plural,5,seven young blue bears
en,bear,blue,young,plural,6,eight young blue bears
en,bear,blue,old,nom,,the old blue bear
en,bear,blue,old,acc,,the old blue bear
en,bear,blue,old,dat,,the old blue bear
en,bear,blue,old,plural,0,two old blue bears
en,bear,blue,old,plural,1,three old blue bears
en,bear,blue,old,plural,2,four old blue bears
en,bear,blue,old,plural,3,five old blue bears
en,bear,blue,old,plural,4,six old blue bears
en,bear,blue,old,plural,5,seven old blue bears
en,bear,blue,old,plural,6,eight old blue bears
en,bear,green,small,nom,,the small green bear
en,bear,green,small,acc,,the small green bear
en,bear,green,small,dat,,the small green bear
en,bear,green,small,plural,0,two small green bears
en,bear,green,small,plural,1,three small green bears
en,bear,green,small,plural,2,four small green bears
en,bear,green,small,plural,3,five small green bears
en,bear,green,small,plural,4,six small green bears
en,bear,green,small,plural,5,seven small green bears
en,bear,green,small,plural,6,eight small green bears
en,bear,green,large,nom,,the large green bear
en,bear,green,large,acc,,the large green bear
en,bear,green,large,dat,,the large green bear
en,bear,green,large,plural,0,two large green bears
en,bear,green,large,plural,1,three large green bears
en,bear,green,large,plural,2,four large green bears
en,bear,green,large,plural,3,five large green bears
en,bear,green,large,plural,4,six large green bears
en,bear,green,large,plural,5,seven large green bears
en,bear,green,large,plural,6,eight large green bears
en,bear,green,young,nom,,the young green bear
en,bear,green,young,acc,,the young green bear
en,bear,green,young,dat,,the young green bear
en,bear,green,young,plural,0,two young green bears
en,bear,green,young,plural,1,three young green bears
en,bear,green,young,plural,2,four young green bears
en,bear,green,young,plural,3,five young green bears
en,bear,green,young,plural,4,six young green bears
en,bear,green,young,plural,5,seven young green bears
en,bear,green,young,plural,6,eight young green bears
en,bear,green,old,nom,,the old green bear
en,bear,green,old,acc,,the old green bear
en,bear,green,old,dat,,the old green bear
en,bear,green,old,plural,0,two old green bears
en,bear,green,old,plural,1,three old green bears
en,bear,green,old,plural,2,four old green bears
en,bear,green,old,plural,3,five old green bears
en,bear,green,old,plural,4,six old green bears
en,bear,green,old,plural,5,seven old green bears
en,bear,green,old,plural,6,eight old green bears
en,bear,yellow,small,nom,,the small yellow bear
en,bear,yellow,small,acc,,the small yellow bear
en,bear,yellow,small,dat,,the small yellow bear
en,bear,yellow,small,plural,0,two small yellow bears
en,bear,yellow,small,plural,1,three small yellow bears
en,bear,yellow,small,plural,2,four small yellow bears
en,bear,yellow,small,plural,3,five small yellow bears
en,bear,yellow,small,plural,4,six small yellow bears
en,bear,yellow,small,plural,5,seven small yellow bears
en,bear,yellow,small,plural,6,eight small yellow bears
en,bear,yellow,large,nom,,the large yellow bear
en,bear,yellow,large,acc,,the large yellow bear
en,bear,yellow,large,dat,,the large yellow bear
en,bear,yellow,large,plural,0,two large yellow bears
en,bear,yellow,large,plural,1,three large yellow bears
en,bear,yellow,large,plural,2,four large yellow bears
en,bear,yellow,large,plural,3,five large yellow bears
en,bear,yellow,large,plural,4,six large yellow bears
en,bear,yellow,large,plural,5,seven large yellow bears
en,bear,yellow,large,plural,6,eight large yellow bears
en,bear,yellow,young,nom,,the young yellow bear
en,bear,yellow,young,acc,,the young yellow bear
en,bear,yellow,young,dat,,the young yellow bear
en,bear,yellow,young,plural,0,two young yellow bears
en,bear,yellow,young,plural,1,three young yellow bears
en,bear,yellow,young,plural,2,four young yellow bears
en,bear,yellow,young,plural,3,five young yellow bears
en,bear,yellow,young,plural,4,six young yellow bears
en,bear,yellow,young,plural,5,seven young yellow bears
en,bear,yellow,young,plural,6,eight young yellow bears
en,bear,yellow,old,nom,,the old yellow bear
en,bear,yellow,old,acc,,the old yellow bear
en,bear,yellow,old,dat,,the old yellow bear
en,bear,yellow,old,plural,0,two old yellow bears
en,bear,yellow,old,plural,1,three old yellow bears
en,bear,yellow,old,plural,2,four old yellow bears
en,bear,yellow,old,plural,3,five old yellow bears
en,bear,yellow,old,plural,4,six old yellow bears
en,bear,yellow,old,plural,5,seven old yellow bears
en,bear,yellow,old,plural,6,eight old yellow bears
en,bear,black,small,nom,,the small black bear
en,bear,black,small,acc,,the small black bear
en,bear,black,small,dat,,the small black bear
en,bear,black,small,plural,0,two small black bears
en,bear,black,small,plural,1,three small black bears
en,bear,black,small,plural,2,four small black bears
en,bear,black,small,plural,3,five small black bears
en,bear,black,small,plural,4,six small black bears
